id,text
1,"@ailurenadae Bukan maen, diserang kapolda tar"
2,"@Lucknuut @RTMC_PoldaJabar @polrestabandung @ListyoSigitP Lapornya harus ke kapolda metro ini mah, biar premannya dijadikan perkedel..."
3,@arga_indrawan2 Calon adik ipar kapolda
4,"Yang lain pada ributin kapolda, MinCa mah ribut nyari tiket ke istora ntar malem yang harganya masih waras dimana iniii"
5,"@ArditErwandha Jangan macem macem ya sama saya!
Saya ini aktivis HAM, ayah saya TENTARA, adek saya POLISI, kakanya calon suami saya itu KAPOLDA, dan dosen saya KADER GOLKAR.
jangan macem macem kamu! Mau saya bawa ke meja hijau?"
6,"@yourfavdrkchoco Naaah kan makanya gw ga pernah berani nyenggol² fans Kpop, karena setau gw K nya itu Kapolda😂"
7,"@anemone26_ jangan macam"" ya, dosen saya kader golkar!! calon suami saya, kakaknya kapolda, ayah saya tentara, adek saya polisi, saya bawa advokat nanti!!1!1"
8,"“dosen saya”, “kader golkar”, “bapak tentara”, “adek polisi”, “kakak calon suami polisi”, “manggil nak”, “nurunin pangkat”, “kapolda”"
9,"@anemone26_ @andikabp__ Kasian yang ngepost nya malah aku mah. Safa yang ngeledek orang lain aja sampe mau di bawa ke meja hijau. Dan udah pada sewa pengacara. Kapolda pun dibawa2

Apalagi ini, yang posting wjaah dia :( kapolri dan presiden yang bakal dia bawa kayaknya.

Rip yang posting :("
10,@Cooricooo Nunggu didatengin safa sm pak kapolda ini akuuu
11,"@tivnju @BASEVAMOS GAK. Kenalan ku orang kapolda loch, temen ku kader golkar!"
12,"@tubirfess SALAH WOY. YANG 29 TAUN TU MBAK FLOWER YANG BAPAKNYA TENTARA, ADIKNYA POLISI, CALON SUAMI DIA...... KAKANYA KAPOLDA 😭😭😭😭😭😭😭😭😭"
13,"@adjisdoaibu Jangan macem macem ya sama saya!
Saya ini aktivis HAM, ayah saya TENTARA, adek saya POLISI, kakanya calon suami saya itu KAPOLDA, dan dosen saya KADER GOLKAR.
jangan macem macem kamu! Mau saya bawa ke meja hijau?"
14,"@LMamzi Bapak kamu dinas dimana nak, saya bisa loh nurunin jabatan bapak kamu, ayah saya tentara, adik saya polisi, calon suami saya......... kakaknya kapolda, jangan main main kamu, dosen saya anggota partai, saya bisa kasih no nya biar kamu bicara sama dia 🤪"
