id,text
1500006439569735680,@CNNIndonesia Mantap... Selesai latihan..otw papua.. Hajar teroris d papua
1500006355994046465,"@jek___ Stang, kalo goreng sosis pake minyak lintah papua gpp kan?"
1500006290327994368,"@callme_temon @___faishal kalao Bung Karno di Edo Tensei, ditanya, ""Bung, Belanda udah g ingin bercokol di sana. terjadi kasus ini itu kmaren... menurut Bung, baiknya papua gemana?""

pasti belio akan menjawab yaitu....... #sebagiantekshilang"
1500006149609115650,"@elpanjullo Membela KKB teroris Papua, demi dollar"
1500006024081977344,"masyarakat luas sudah tau atas aksi biadab yg di lakukan kelompok organisasi papua merdeka KKB OPM yg tidak punya hati dan perasaan selalu dengan mudah membunuh manusia bahkan sesama saudaranya sendiri sesama orang papua
dan yg masih membela mereka, dikasih uang berapa bro ??"
1500006016284569602,"@Zeus_yucegod İnanmıyorsun ama Yeni Gine Papua da böyle çok peygamber var, çükleri açıkta. 😂 😂 😂"
1500005605557227522,@Stevaniehuangg Ini @tni_ad takut ya ama TERORIS PAPUA ?
1500005363373862916,@TekegeIpouga Rusia ukraina tdk ada hubungannya dengan papua ko dengan Benny wenda cuki babi. 🖕🖕🖕
1500004959127228416,"@rodhialfalah @jokowi ntar di skak mat pake papua,,,"
1500004315960061954,@nusa_info Papua nkri
1500003337248206850,"It's five o'clock somewhere! For example: Ialibu, Papua New Guinea!"
1500003165298892801,"@deburombak @DokterSyarif @henrysubiakto Ga ada manfaatnya bagi Amerika bikin gara2 di Papua. Salah satu pihak tar malah minta bantuan RRC, sbgmana dekade 1960an dpt sumbangan kapal perang dari Uni Soviet utk Trikora.

Dg ketegangan di Laut Natuna Utara, Amerika butuh pertemanan dg Indonesia."
1500003123523248141,"@tempodotco Kpn ddg,densus,bnpt dan banser ke papua?jgn hanya sibuk fitnah ummat islam,ini lawan tangguh krn bersenjata"
1500002647897620481,"@JebuelMania900 Aku duwe kanca 1 wong Papua ngomong Jawane lancar, jare asli Ponorogo 😂😂😂"
1500002212034277377,@gulali_kelas Tp aku makan indomie di jawa rasanya sama aja ky pas makan di makassar sm papua
1500001658499387393,"Ya lagian yaa, aku udah bilang mau kerja tapi di taro di papua aku mana mau sih"
1500001529834586113,"@IdThalamus @SantorinisSun we musn't be naif. We knew that facts.

Many Russians and Ukraines in USSR' submarines to help Indonesia Navy to fight Nederland for make West Papua freedom."
1500000738356850690,@dennysirregar7 Urusin negara org negara sendiri aja tdk bs atur harga harga bahan pokok yg terus melambung tinggi tdk bs urus migor tahu tempe blm urusan hukum dan ham lihat Papua pa kbr nya ..??
1500000099237511175,"@Jatosint Menurut gue kalau ada orang luar papua yg bekerja utk membangun papua spt bangun infrastruktur, guru, nakes, dlsb ya jangan diganggu atau dibunuh krn mereka sipil. Mereka jg perlu dibela HAMnya"
1499999928172433412,@007koteka Papua adlh Indonesia
1499999474650791936,@CNNIndonesia Setelah kirim ke Papua atau perbatasan PNG
1499998767893909505,"@_alice_evans I'm not sure how the metals argument holds up, given the high prevalence of endemic small group warfare in pre-contact societies without metal working. (E.g. Papua New Guinea).

Arguably what metals do is improve the capacity for state warfare."
1499998714626478084,"@pengarang_sajak Mr Prab beli f15 dari yu es USD 13,9 milyar cuma dapat 36 biji itupun tanpa rudal,...... Dijogetin AU Papua Nugini lah klo mo intercep 😂😂😂"
1499997532935491584,@KofiWarPrincess Apparently taking showers is antithetical to being Papua New Guinean…🤣
1499997512375336967,"@Stevaniehuangg Mna kopasus yg digembar gembor kan prajurit dgn kemampuan diatas rata2, itu layani kkb di papua hahaha"
1499997344586248193,"Being a family member is hard no matter where you are. It's hard to be a kid. It's hard to be a parent. It's hard to be a brother or sister. 

Tangmo Thai The K2 SAFE FLIGHT JENNIE Kenceng Dejan Askara Papua Mendung Hari Sabtu Supersemar #LuhutMafia #FIFAMobileIndonesia"
1499997239401459719,"Patience is sorrow's salve.

Tangmo Thai The K2 SAFE FLIGHT JENNIE Kenceng Dejan Askara Papua Mendung Hari Sabtu Supersemar #LuhutMafia #FIFAMobileIndonesia"
1499997170317115393,"Obstacles, of course, are developmentally necessary: they teach kids strategy, patience, critical thinking, resilience and resourcefulness.

Tangmo Thai The K2 SAFE FLIGHT JENNIE Kenceng Dejan Askara Papua Mendung Hari Sabtu Supersemar #LuhutMafia #FIFAMobileIndonesia"
1499997102822277128,"Patience is key, as long as you have a purpose.

Tangmo Thai The K2 SAFE FLIGHT JENNIE Kenceng Dejan Askara Papua Mendung Hari Sabtu Supersemar #LuhutMafia #FIFAMobileIndonesia"
