id,text
1,@VeronicaKoman Km memposting seolah2 teroris papua bener
2,"Negara wajib melayani dan memelihara kesejahteraan sosial masyarakatnya secara terencana dan berkelanjutan, ini sesuai dengan amanat UU 11 Tahun 2009 tentang Kesejahteraan Sosial dan dikuatkan pula melalui UU 21 2021 tentang Otonomi Khusus Papua."
3,"Program pembangunan pondok jualan dan pemberian modal usaha ini menyasar mama Papua, sebagai langkah kongkrit pemerintah menjawab eskalasi Penyandang Masalah Kesejahteraan Sosial (PMKS) serta mengatasi kesenjangan sosial."
4,"Dinas Sosial Papua Barat sejak 2017 fokus pada pembangunan fisik 661 pondok jualan khusus bagi mama Papua yang tersebar di 7 kabupaten dan kota, yaitu di kabupaten Manokwari, Raja Ampat, Kaimana, Teluk Wondama, Sorong Selatan, Pegunungan Arfak dan kota Sorong."
5,@olinriza Kalo misalnya ini sembuah negara Sumatra... Kalimantan... Sulawesi... Papua mengembargo jawa kira2 masih bisa hidup kaga ?
6,@CNNIndonesia Mantap... Selesai latihan..otw papua.. Hajar teroris d papua
7,"@jek___ Stang, kalo goreng sosis pake minyak lintah papua gpp kan?"
8,"@callme_temon @___faishal kalao Bung Karno di Edo Tensei, ditanya, ""Bung, Belanda udah g ingin bercokol di sana. terjadi kasus ini itu kmaren... menurut Bung, baiknya papua gemana?""

pasti belio akan menjawab yaitu....... #sebagiantekshilang"
9,"@elpanjullo Membela KKB teroris Papua, demi dollar"
10,"masyarakat luas sudah tau atas aksi biadab yg di lakukan kelompok organisasi papua merdeka KKB OPM yg tidak punya hati dan perasaan selalu dengan mudah membunuh manusia bahkan sesama saudaranya sendiri sesama orang papua
dan yg masih membela mereka, dikasih uang berapa bro ??"
11,"@Zeus_yucegod İnanmıyorsun ama Yeni Gine Papua da böyle çok peygamber var, çükleri açıkta. 😂 😂 😂"
12,@Stevaniehuangg Ini @tni_ad takut ya ama TERORIS PAPUA ?
13,@TekegeIpouga Rusia ukraina tdk ada hubungannya dengan papua ko dengan Benny wenda cuki babi. 🖕🖕🖕
14,"@rodhialfalah @jokowi ntar di skak mat pake papua,,,"
15,@nusa_info Papua nkri
16,"It's five o'clock somewhere! For example: Ialibu, Papua New Guinea!"
17,"@deburombak @DokterSyarif @henrysubiakto Ga ada manfaatnya bagi Amerika bikin gara2 di Papua. Salah satu pihak tar malah minta bantuan RRC, sbgmana dekade 1960an dpt sumbangan kapal perang dari Uni Soviet utk Trikora.

Dg ketegangan di Laut Natuna Utara, Amerika butuh pertemanan dg Indonesia."
18,"@tempodotco Kpn ddg,densus,bnpt dan banser ke papua?jgn hanya sibuk fitnah ummat islam,ini lawan tangguh krn bersenjata"
19,"@JebuelMania900 Aku duwe kanca 1 wong Papua ngomong Jawane lancar, jare asli Ponorogo 😂😂😂"
20,@gulali_kelas Tp aku makan indomie di jawa rasanya sama aja ky pas makan di makassar sm papua
21,"Ya lagian yaa, aku udah bilang mau kerja tapi di taro di papua aku mana mau sih"
22,"@IdThalamus @SantorinisSun we musn't be naif. We knew that facts.

Many Russians and Ukraines in USSR' submarines to help Indonesia Navy to fight Nederland for make West Papua freedom."
23,@dennysirregar7 Urusin negara org negara sendiri aja tdk bs atur harga harga bahan pokok yg terus melambung tinggi tdk bs urus migor tahu tempe blm urusan hukum dan ham lihat Papua pa kbr nya ..??
24,"@Jatosint Menurut gue kalau ada orang luar papua yg bekerja utk membangun papua spt bangun infrastruktur, guru, nakes, dlsb ya jangan diganggu atau dibunuh krn mereka sipil. Mereka jg perlu dibela HAMnya"
25,@007koteka Papua adlh Indonesia
26,@CNNIndonesia Setelah kirim ke Papua atau perbatasan PNG
27,"@_alice_evans I'm not sure how the metals argument holds up, given the high prevalence of endemic small group warfare in pre-contact societies without metal working. (E.g. Papua New Guinea).

Arguably what metals do is improve the capacity for state warfare."
28,"@pengarang_sajak Mr Prab beli f15 dari yu es USD 13,9 milyar cuma dapat 36 biji itupun tanpa rudal,...... Dijogetin AU Papua Nugini lah klo mo intercep 😂😂😂"
29,@KofiWarPrincess Apparently taking showers is antithetical to being Papua New Guinean…🤣
30,"@Stevaniehuangg Mna kopasus yg digembar gembor kan prajurit dgn kemampuan diatas rata2, itu layani kkb di papua hahaha"
31,"Being a family member is hard no matter where you are. It's hard to be a kid. It's hard to be a parent. It's hard to be a brother or sister. 

Tangmo Thai The K2 SAFE FLIGHT JENNIE Kenceng Dejan Askara Papua Mendung Hari Sabtu Supersemar #LuhutMafia #FIFAMobileIndonesia"
