id,text
1,"@darjofess Akhire minyak goreng langka, mekso ibukota baru, daging aapi larang, kedelai larang, opo2 regone mundak, trus ngunu jare ate part 3 kalo rame.
Ga tepak blas wes."
2,Cukup tertarik mau pindah &amp; tinggal ke Ibukota baru nanti / IKN Nusantara
3,"Ibukota baru sudah mau jadi, umur saya sudah mau menginjak bapak2 🏙️😌"
4,@PresidenKopi Gaya2 an bikin ibukota baru 🤦
5,@hedgeyy96 Mau bangun ibukota baru wkwk
6,Mau dirubah atau tidak Soeharto sudah meninggal dan gk ada pengaruhnya. Mungkin saja ibukota baru akan dihentikan kalo jokowi sudah lengser. Arty apa bhw negara ini tergantung maunya penguasa.
7,@detikcom Batal deh .....yg bikin rencana fitnah Klo ibukota baru  bakal di tempati aseng.....
8,"@LembagaKERIS LIAONING Mampir di NATUNA di usir Bakamla ga mau.
J.20 slonong boy terbang rendah  ke kalimantan timur calon ibukota. Baru dah modernisasi alutista besar2an TNI"
9,"@IKNnusantaraID Pemerintah mengumunkan nama ibukota baru indonesia ""NUSANTARA"""
10,jakarta reservoir air bersih nya mau habis di tahun 2040. gov kabur ke kalimantan bikin ibukota baru. yg di jawa krisis air bersih deh. 🤩
11,"@Jagoan_Sange @Gank_Of_Petojo @Yudha_YWP terus lupa akan janjinya, bikin sensasi percepatan ibukota baru dan ga punya data, eh tiba ditanya minyak goreng surplus tapi ko harganya mahal, diturunkan eh hilang di pasaran"
12,@geloraco Apalagi dibanding ibukota baru IKN
13,"@Mrfang23 @tanzili @UkiSanukri2 @TheRingOfFire7 @fadlizon @mohmahfudmd betul sekali mas constantin, intinya ibukota baru ini sudah jadi Undang-undang, dan tiap warganegara wajib mematuhi, beda dengan jaman Suharto utk melanggengkan kekuasaan dia wajib pilih golkar, ini pelanggaran HAM."
14,@andanasaputri Hahaha ibukota baru kan. Ntar jadi metropolitan jugaa lama lama
15,@CNNIndonesia Tenggelam tuh isu Ibukota baru wkwkwkw
16,@andymarshof @_ekokuntadhi Kan program itu ditiru di ibukota baru Kak. Air hujan dimasukkan ke tanah lalu jika mencapai titik jenuh akan meluap ke kanal kanal dari kanal ke laut atau danau.
17,@democrazymedia Timbun aja sekalian yang maksa buat ibukota baru.cukup lubang itu buat pentolan dan anggota buzer2.
18,"Nahh dengan Pemindahan Ibukota tentu saja akan ada peningkatan perdagangan antar wilayah.

Berita baiknya 50% wilayah di Indonesia akan mengalami peningkatan perdagangan antar wilayah dgn adanya IbuKota Baru.

Wouw keren ini sich 👍👍"
19,@arifshrn @andryaniade @opensea Wah inimah to the ibukota baru
20,"@OposisiCerdas Kendala IKN banyak lubang bekas tambang... Bukti pemindahan ibukota baru adalah asal pindah saja tanpa studi, hanya menuruti hawa nafsu oligarki saja. Selamat menikmati 🥴"
21,"@dimas_skeptis @okkymadasari Urgensinya apa perlu amandemen pasal 7  UUD 1945 dan Pasal 22E UUD 1945 ? 
Jika alasan Pademi Covid-19. Kenapa di tahun 2020 tetap ada PILKADA ? 
Jika alasan Keuangan negara tidak sehat, Kenapa tetap memilih pembangunan IbuKota Baru Negara ?"
22,"@democrazymedia Maksain amat daerah ini dijadikan Ibukota baru..
Survey lokasi ternyata tidak matang.."
23,"bagaimana tanggapan saudara tentang perpindahan ibukota baru Indonesia yang akan berpindah ke pulau kalimantan. saudara analisisnya dampak positif dan negatif terkait perpindahan tersebut. 

JAWAB :"
24,"kayanya sebagus apapun ibukota baru dibangun nanti, bakal susah untuk ada di level yang sama dengan seluruh sistem di jakarta"
25,"Bikin ibukota baru,
Buat buron ...😀"
26,@vie4nne Pelaku usaha mau buat goreng  ibukota baru sama 3 periode
27,"@soeyoto1 @Braderhood16 Benarkan om 😂😂
Kalau berhasil maksa PNS beli tiket nonton MotoGP Mandalika maka terbuka lebar untuk patuh di paksa pindah ke ibukota baru 

Ngerinya nasib PNS di negeri ruwetsa 😂😂"
28,@RANGERmounts ... bentar lg Ukraina dibangunin ibukota baru sama beliau... asal presidennya kudu diganti dulu...
29,@arfibambani Membuat ibukota baru....
30,"@CNNIndonesia Saya pendukung fanatik PDIP, berbeda pandangan dgn PDIP

Saya dukung penundaan demi tuntasnya Ibukota baru di Penajam-Kaltim

2024 (saat Jokowi berakhir), proses IKN masih SANGAT DINI.
Sangat mudah ditunda/dibatalkan pemerintah baru (tekanan politik dan tidak kreatif cari biaya)"
31,@republikaonline Masyarakat ganti dengan 'cukong' lebih pantas. No free lunch! Lagi miskin² dan terjerat hutang ugal-ugalan malah maksa buat ibukota baru? Daerah indah jadi sarang banjir di masa depan. Gak usah nangis nanti!
32,"@Mentimoen Negara yg dipimpin komedian, ktk petentengan di dpn rusia, putin tak kompromi; hg gagu, gagap.

Persis kayak negri wk2land, dipimpin tukang akting (di tengah sawah, kemudian gagah impor beras msl).

Bahkan di tengah hutang yg menjulang, dg gagah bangun ibukota baru; dan nambah."
33,"@democrazymedia Makanya jgn d PAKSAKAN, klo Niat buat IBUKOTA baru jgn MANUT sama PENDANA manutlah pada RAKYAT"
34,@Greschinov kasian yang bikin ibukota baru
35,"Benci Arab tapi ngemis2 nyari duit ke kerajaan arab saudi utk bangun ibukota baru. 
Kelakuan rezim mukidi🙈🙈

#MukidiIngkarJanji 
#MukidiIngkarJanji"
36,@AkmalVyandri @Mentimoen Nampaknya ingin bro tapi Rusia menunggu agar warga sipil keluar dlu dari ibukota baru di sapuratu tuh Kiev. Sesuai hasil pertemuan kedua agar warga di sipil di evakuasi dlu dan tentara Rusia menahan serangan dulu sampai semuanya telah di evakuasi
37,@SINDOnews Awas Saudi kirim ISIS ke ibukota baru atau kirim ideogi Wahabi ke kalimantan
38,"Mereka sendiri yg heboh soal pengunduran pemilulah, yang wacana 3 periodelah 
===
Pemilu tetap dilaksanakan thun 2024, dngan syarat mengusung presiden PT minimal 20%
Presiden Jokowi diagendakn sbelum 16 Agustus 2024 pindah ke Ibukota Baru
Upacara 17 Agustus 2024 di IKN Nusantara"
39,"@yudhawpa Ya nggak dong kak, merantau tetep ke jakarta... Kejauhan klo ke ibukota baru hehe"
40,@msaid_didu ya kami akan menikmati ibukota baru
41,@vaza___ @grumblingallday Jgn ikutin vaza ya nanti dibully netijen 😂😂😂 ikutin om @RoeangLovie aja anak Ibukota baru 😂
42,"@djemada @1nohon9 @mohmahfudmd Mau konseptor kayak mana kalau gak ada pelaksana dilapangan konseptor juga gak ada artinya sama aja dengan bohong, samalah buat rencana bangunan  ibukota baru tapi tak ada pekerja lapangan toh gak akan jadi juga ikn."
43,"@schfess aturan seragam, lgbt, kurikulum terbaru, pemindahan ibukota baru"
44,"@Deviloflegend1 @ernestprakasa Waduh ibu kota baru,, jd harus bikin ibukota baru dulu ya buat pemerataan ekonomi? Terus apa gunanya provinsi? Gubernur? Otonomi daerah?
Kedelei aja dulu di daulat, biar ga usah import dr China.buat tahu tempe aja kita ga punya kedaulatan kok. jelas² itu dpn mata tiap hari dicari"
45,"@heriadika77 @RamliRizal 😁😁terindah OPO sama saja ERA SBY..
Apa yg berubah,ndak ada hanya buat ibukota baru..
Lalu apa fungsinya dari ibukota baru tersebut..hati hati MANGKRAK seperti Jaman SBY
Kita taulah pendapat APBN BOCOR untuk kelola ibukota baru🙆🏻‍♀️🙆🏻‍♀️"
46,"@Metro_TV Sudah tak mampu bekerja, bisanya utang utk ibukota baru, thd permasalahan bangsa sudah mentok, mk lengser"
47,"Dari pada duit APBN untuk bangun Ibukota Baru (IKN) mending duit APBN buat beli klub Chelsea.

Jokovi bisa jadi Presiden Chelsea tanpa syarat jika mundur sukarela dr posisinya.

Klo Jokovi jadi Presiden Chelsea lha yg jabat Presiden RI nya siapa? .... Anies lah."
48,"@MardaniAliSera Andaikan ibukota beneran terjadi pindah ke IKN (dan akan pindah krn sdh disetujui DPR), apakah anggota fraksi PKS di parlemen ikut pindah apa tidak pak ? Ikut sidang2 DPR di ibukota baru apa tidak ?"
49,"@EdhizuUbit @CNNIndonesia @susipudjiastuti Nah ini harus dicari tau kenapa?
Apakah dengan memindahkan ibukota kemudian industri sekitar ibukota baru akan hidup?
Ini bukan masalah setuju tidaknya, tapi harus dipelajari oleh pemerintah"
50,"yakali pindah ke ibukota baru wkwk itu yg sempet terbesit dipikiran sih waktu awal daftar jd pns di DKI, ""gue bakal dipindah ke ibu kota baru ga ya nanti klo jadi asn dki? ah semoga engga lah"" jadi tetap daftar bismillah semoga ngga lah ya pindah kesana jauh bgt :("
51,"wacana tunda pemilu / perpanjang masa jabatan:
1. Pengen nikmatin Ibukota Baru
2. Udah di zona nyaman &amp; aman. Kalo ganti rezim, ngeri boroknya kebongkar. 

Mungkiiiiiinnn......"
52,@maretaadp wah ntar bakal deket ibukota baru ya
53,"@JossBangJago @jokowi Sudah tahu rakyat masih sulit .. ada baik nya ..Tunda pemindahan ibukota baru... beri subsidi untuk perbaikan ekonomi . Keringanan pajak, tarif listrik biaya logistik yg semakin tinggi"
54,"@OposisiCerdas Berdasarkan pengetahuannya, kebebasan bersuara di grup tersebut komunikasi tersebut, setidaknya sudah terjadi dalam jangka waktu 8 tahun terakhir.
Udah jelaskan, gakada yg setuju ada ibukota baru. Rakyat mana yg setuju? Malu cuma jadi bahan olok2, lebih terhormat mundur aja..!!!"
55,@kompascom Tolong tetap taat aturan.pindah jadi ASN ibukota baru.dukung kelancaran pemerintahan kelak.
56,@tatakujiyati Tyt ibukota lama yg akan ditinggalkan jauh lbh nyaman drpd ibukota baru:)
57,@DKIJakarta @DinasSDAJakarta entar di pakai di ibukota baru
58,"Belum lagi dgn adanya basecamp TNI/Polri dalam jumlah besar baik personil maupun alutsista yg akan ditempatkan disana guna melindungi ibukota baru sehingga akan memperkuat benteng pertahanan Indonesia,-

@Suharso_M 
@Jiwamudaindo"
59,"Belum lagi dgn adanya basecamp TNI/Polri dalam jumlah besar baik personil maupun alutsista yg akan ditempatkan disana guna melindungi ibukota baru sehingga akan memperkuat benteng pertahanan Indonesia,-

@Suharso_M 
@Jiwamudaindo"
60,Bangun ibukota baru.. ada ya duitnya???
61,"Belum lagi dgn adanya basecamp TNI/Polri dalam jumlah besar baik personil maupun alutsista yg akan ditempatkan disana guna melindungi ibukota baru sehingga akan memperkuat benteng pertahanan Indonesia,-

@Suharso_M 
@Jiwamudaindo"
62,"@cornelgea bacot pemerintah soal ibukota baru, bacot buzzer soal wadas"
63,"@tempodotco Oleh karenanya dengan segala hormat wacana pemindahan ibukota baru yg pastinya akan menyerap anggaran yang luar biasa, layak ditinjau kembali Pak Presiden."
64,@OposisiCerdas Bgmn klau bom Vakum dicoba di Ibukota Baru ?
65,"Udah 7 bln di ibukota baru sadar bioskop cuma 2km dr rmh. Harganya dibawah 40k pula.

Next month yuk ah."
66,"@ApriL_vante4 @temanbaik007 Kurang ya ka, tadinya mau aku trade sama tanah 1 hektar di ibukota baru padahal 🥲🥲"
67,"@elisa_jkt Padahal kalo mau jujur lebih enak, semisal dikarenakan wabah dan pembangunan ibukota baru maka dengan ini saya harus memperpanjang jabatan ini hingga waktu yang belum ditentukan."
68,@temponewsroom SAYA PROTES KE TEMPO...INI MASIH KURANG... KEMANA KENAIKAN HARGA DAGING AYAM DAGING SAPI KENAIKAN TARIF LISTRIK KENAIKAN TABUNG LPG KENAIKAN TARIF TOL DAN KENAIKAN UTANG SERTA KETAMAKAN PEMINDAHAN IBUKOTA BARU DI SAAT PANDEMI DAN KEUANGAN YG BURUK...
69,Ini ibukota baru apa gak cari generasi muda buat mengbabukan diri disana🤔
70,"@sapporo_jack @Iteungik @H4l1mun_D1n61n @YudiSet16452924 @devanavedraza @Iyoet___Asriie @Bentir16 @AntiPasti_07 @bknMuslimEgois1 @YakubRios @MahbubGhani @El70004 @sastro0001 @anticebong2021 @sakitotak3 @warnadi08 @jey_jailbreaker @ediasmawan @JunizarT @Ladede3 @BoniCekrik @GHrp20 @Anugrh_Prtm3 @Crespo04946885 @antonah61851221 @2H80457169 @Daud19761 @Didi_BMS @ekoguruoke @buzzerbalaiKNTL @DiptraD @ChomZdelaRoCa @ahista_perdana @cgtrisanjaya @Bukhori72711553 @UmatSantuy @Vv3Yz @BangunMarkos @ImamMursyalin @TonyFoo13 @Yonesman2 @Uplu7 @YogaKrisnanda2 @Maemunah_Azza @Mantova42167289 @Jebenk63285910 @BuayaLanglang @DefFirmansyah @Dennysiregar7 @RatnaSpaet Kata dudung saudara... 
Dan karena di belakang OPM itu ada israel yahudi Amerika. Mana mungkin RI bisa meredam gejolak OPM. Karena America mau kuasai Papua mereka punya tameng yaitu OPM. Begitu jg China di Kalimantan, makanya ada yg maksa mau bikin ibukota baru disana."
71,@caaramely calon ibukota baru yah bestiee
72,"#PilpresdiPercepat 
#PilpresdiPercepat
Rakyat mau presiden baru 
bukan ibukota baru"
73,@apose_qntldado Ke ibukota baru gasiii
74,"@budimandjatmiko @jokowi Meski saya pemilih militan partai PDIP namun dukung penundaan

Alasan pragmatis saya ada dua :

1. Ibukota baru.
UU IKN sedang dihantam dari segala jurusan.
Dari kandidat Capres, belum ada yg terlihat GIGIH seperti pak @jokowi
utk merealisasikan (cari dana dll).
Bisa mangkrak

2."
75,"KARENA INDONESIA SEMAKIN RUWET , 
TIDAK MAU PINDAH IBUKOTA BARU (BELUM WAKTUNYA)...
MAUNYA GANTI PRESIDEN BARU !!"
76,"@detikcom Sekarang IKN mungkin masih pembangunan, tapi 10 taun lagi pasti ngerasa beruntung dimutasi ke ibukota baru."
77,"@gratificat_none @CahayaL80915016 @RebornAisha Wkwkwkwk Ibukota baru itu supaya tidak kena Ring of Fire, ngerti ga son? Berarti Malaysia, Brazil dll sombong dong, mindah2in Ibukota. Indonesia negara miskin?? Wkwkwk...sekolah dimana sih mas?"
78,"@angkosodx @CahayaL80915016 @RebornAisha Saat ini tdk ada, krn hampir smw manusia pada rakus dunia dan takut mati.

Itu jg sebab acak kadut kondisi dunia.

Cth? Ada negara miskin, ngutang terus, tapi sombong mau bikin ibukota baru."
79,"@markenyot6 @XIXdgmbkXIX Ada komentar diWA tak setuju ibukota baru, TNI POLRI dari pimpinan sampai dibawah hrs satu suara."
80,"@CNNIndonesia Sebelum ada perang minyak goreng sudah mahal kan ?
Lagi cari alasan mau naikin harga bbm, entar kalau harga balik normal ga usah ikut turun seperti biasanya, buat pindah negara ke pluto, bukan lagi pindah ibukota baru.
Demi pemerataan ekonomi bima sakti."
81,"@ainunnajib @jokowi @MasMenteri Mbelgedes, Ra mungkin dipikir, sing dipikir dana nggo ibukota baru"
82,@catuaries Firaun yang bikin negara bangkrut gara2 bikin ibukota baru
83,"@ABSetyono @kemkominfo @PlateJohnny @jokowi Pemindahan ibukota baru adalah demi menuju Indonesia Sentris.
@kemkominfo"
84,"@CNNIndonesia Pemilu ditunda, Ibukota Baru jalan terus ya? Kan bajingan"
85,berangkat ke kampus ujan ujan tuh kayak lagi liat proyek ibukota baru
86,@infoBMKG Wah dekat ibukota baru nih
87,@Jowo_Jawi Lah calon ibukota baru jg kena gempa 😁. @danang82d
88,"Pilkada pas corona mbludak aja jalan ini pemilu masih 2 tahun lagi minta mundur, dih aneh banget buat ibukota baru aja duit, masa buat pemilu gak ada duit? Apasi alasannya sebenarnya? Tapi gausa pemilu2an juga gak masalah sih asal harga barang2 pada turun aja dah ckckck"
89,"@arfibambani Jakarta masih termasuk bagus dari sisi pertahanan, karena seandainya ada negara agresor jaraknya jauh dari semua perbatasan.Serangan darat sulit dilakukan.Kalau ibukota baru sepertinya perlu pertahanan darat yg luar biasa kuat karena perbatasan cukup dekat dgn negara lain."
90,"@Hilmi28 Kenapa harus diundur ,kalo masalah beban IBUKOTA BARU, SIRKUIT MANDALIKA .APA.KABAT"
