id,text
1,"@msaid_didu Bos update harga goto skrg 310 harga IPO 338...sekian bos...jd jgn terlalu kompor2 in aja...itu kan floating loss, kl nanti harga perlembar GOTO 3000 investasi TLKM Cuan brp...cuma nanya sih..."
2,"@arif_dewe @diajengbhakti @kurawa @aniesbaswedan Ya tinggal dibuktikan aja klo ada konflik kepentingan, TLKM beli harga GOTO dibawah harga IPO, 4 hari terakhir saham GOTO udh naik, klo TLKM sbg trader mungkin udh di sell, tp mereka kan investor jangka panjang"
3,@Fahrihamzah Sebelum ipo goto TLKM floating profit 1.1 T setelah ipo goto TLKM per harga 18 may floating loss 1.2 T
4,"TLKM Grup dituding salah investasi mirip Jiwasraya dan rugi besar di GOTO waktu posisi 194. Jadi surat terbukanya hrs dikoreksi gituh! krn skrg  280. Berisik aje dah!
Kalau TLKMG gak masuk, yang borong asing elu teriak, ""goto sudah dikuasai asing!"" TLKM mana!?  Biji !!"
5,"IHSG ditutup menguat tajam 2,24% di level 6.793,41 dan sukses menembus level psikologis 6.700 pada perdagangan Rabu (18/5/2022).Tercatat saham BBCA,GOTO dan TLKM merupakan saham yang aktif diperdagangkan dengan turnover lebih dari 2T IDR

#Dailytechnical #BahanaSekuritas"
6,@teguhinvestor Apakahyang dilakukan TLKM kepada GOTO sama dg yang dilakukan oleh BUKA terkait dengan laba (yang belum direalisasikan kurleb 1 triliun atau brp gitu ya) kmarin pak?
7,"@arif_dewe @diajengbhakti @kurawa @aniesbaswedan Betul, tp Saham TLKM disana blom dijual masih posisi unrealized, lihat ja sekarang 2 hari terakhir ini saham GOTO udh naik, mereka disana sebagai investor jangka panjang, ada beberapa perusahaan kelas kakap disana bukan hanya TLKM"
8,"Saya tidak sedang menganalisis pergerakan harga saham GOTO, TLKM dsb. Tidak sedang mengarahkan untuk entry atau exit. Tidak sedang menggambarkan titik support maupun resistance tertentu."
9,Lagi rame TLKM GOTO ya? 😊
10,"Baru sempet baca skandal GOTO, cek porto TLKM, cek seminggu ke belakang, cek 1 bulan kebelakang, fix besok sell aja. Mumpung masih ada sedikit untung meskipun ga setinggi di akhir April ini 😅"
11,Tentu saja langkah ini dilandasi visi jangka panjang TLKM dalam melihat prospek kolaborasi bisnis TLKM X GoTo ke depan.
12,"#2. SHORT vs LONG VISION
Kalo orientasinya jangka pendek, maka ketika harga saham GoTo tinggi, ia akan menjualnya untuk profit taking.

Tapi karena orientasi TLKM berinvestasi di GoTo adalah jangka panjang, maka ia tak melakukannya."
13,"Yang menarik, walaupun berpotensi rugi besar, namun TLKM menyatakan tetap berkomitmen untuk melakukan investasi jangka panjang ke GoTo.

Alasannya, langkah investasi TLKM tak semata mempertimbangkan capital gain/loss. Tapi pertimbangan yang lebih strategis dan jangka panjang."
14,"Untuk informasi, ""unrealized loss"" adalah kerugian yang belum terealisasikan. Artinya TLKM belum menjual sahamnya di GoTo, sehingga ruginya belum terjadi."
15,@taktekbum Jadi pada intinya siapa yang paling diuntungkan dalam kasus GOTO-TLKM ini?
16,"@satriohendri Melihat TLKM di GOTO jgn hanya nilai saham hr ini, aplg itu kan unrealized losses. Direct synergy GOTO dgn ekosistem TLKM dan Telkomsel itu bs dirasakan manfaat bisnisnya hr ini. Lgpl Telkomsel kan anak perusahaan. Susah kl setiap business judgement hrs trs dikriminalisasi."
17,berita goto-tlkm bener2 ga ngaruh ama market ya?👀
18,"Dua poin saja:

1.Dinamika harga saham merupakan hal lazim.Saham bisa naik,bisa turun sesuai kondisi pasar.Tahun lalu Telkom mencatatkan unrealized gain atas investasi GOTO Rp2,5 triliun. 
Catatan: 
Kita ikuti hitungannya.Buka Laporan Keuangan TLKM per 31 Desember 2021 hlm.50."
19,skandal tlkm goto gila gila
20,Isu yg lagi rame ttg shm! tlkm-goto itu bakal ngaruh jelek ke harga tlkmnya gak ya?
21,Eh ini tlkm rugi invest di goto bakal ada pengaruh ngga ya sama harga besok?
22,"@sinaga_doly @AnthonyBudiawan $TLKM sebelum kejeblos di $GOTO, ada $TELE"
23,"@NephiLaxmus Anjir separoo, apa mungkin kerugian goto bisa beralih/berdampak ke tlkm?"
