id,text
1,GoTo to the moon nih kek nya. Serok tipis tipis
2,gila yang serok goto pas arb terakhir itu udah return 60%an shm!
3,Goto meroket lagi 🤣
4,tgl tua terus tbtb keinget di porto ada $GOTO di cek ke RTI udh naik 40% 🫠
5,"GZCO, LABA, SDMU, WIFI makasih cuannya hari ini.

buat WIRG jangan bikin kecewa ya, bela-belain nggak milih GOTO demi elu nih 😒"
6,Pengen untung? Ajak seluruh anggota anda buat beli saham GOTO. dijamin naik tuh harganya. Gitu aja kok repot 😂
7,@MahasiswaUMS aku beli di goto nder alhamdulillah aman berfungsi baik
8,"@Strategi_Bisnis Walapun rugi unrealized..tapi akan bertahan berapa lama?, baru berapa bulan GoTo IPO, sahamnya udah nyungsep...ini bisa jadi akan realized, dan telkomsel buang2 dana invest triyunan, atau bisa jadi ada udang dibalik bakwan menguntungkan pihak2 tertentu? Ingat jiwasrsya dan asabri"
9,"Kira2 3 hari lalu kepikiran ngoleksi GOTO, ngantri di 180.. ternyata startingnya di 181.. 🙃"
10,@PDemokrat GOTO sudah IPO jadi siapapun boleh membeli dalam investasi selalu ada resiko untung dan rugi itulah fungsi dari risk management
11,"@PDemokrat Namanya investasi.. tidak selalu untung diawal.. pasti ada bulliish dan bearish.. klo diambil dr sisi politik ketika saham turun jd bahan gorengan.. tp disisi pemain saham.. itu hal yg biasa..
Salam nyangkut di goto.. dikit2 mulai naik lhoo..."
12,"trade unvr to goto, moga nyampe ke angka 3juta buat beli monitor haha"
13,"@kulinerbocah Asing masih pegang saham GOTO, 81% malah."
14,"@aewin86 eh iya lupa, Goto kan barengan Tokopedia😁🫡"
15,$GOTO kesayangan pemerintah emang
16,"Emg baru belajar, 2hari lalu saham goto beli 214 malah dijual🤦🤦. Padahal skrg naik lg ke 300."
17,"Saham GoTo naik terus, sudah tembus ke 300-an lagi"
18,"sekilas info $GOTO masuk angka psikologis nih.. 300.. 

Tut tut tut.. siapa hendak turut"
19,"@msaid_didu Bos update harga goto skrg 310 harga IPO 338...sekian bos...jd jgn terlalu kompor2 in aja...itu kan floating loss, kl nanti harga perlembar GOTO 3000 investasi TLKM Cuan brp...cuma nanya sih..."
20,Ada yg ijo tapi bukan daun alias GoTo 🚀🚀🚀
21,"@Saham_fess Pernah minus 40% juga tpi buka di goto, hold dulu nanti jga ijo"
22,"tolol na aing mah ngajual goto diharga 216.. ayeuna ek ges diharga 310, dadas ieumah :("
23,iholr yoi keep dsting kids and goto jsil
24,Masih ragu goto 1690?
25,gaaas! semangat menembus IPO !! #GOTO
26,Turun terus dapat Surat Cinta. Naik terus bisa bisa dapet Surat Cinta lagi nih GoTo.
27,"$GOTO +10%, $IHSG +2%"
28,@mahdinosaur Kirain isinya saham goto
29,"$IHSG ijo kalo karena GOTO sm ARTO agak kurang bikin tenang.

Kosong, gak ada isinya."
30,"@MrsRachelIn @erickthohir Iy pak mending investasi saham aj buang2 anggaran ky yg terbaru goto, ya g bong.."
31,Ugal ugalann GOTO
32,"@arif_dewe @diajengbhakti @kurawa @aniesbaswedan Ya tinggal dibuktikan aja klo ada konflik kepentingan, TLKM beli harga GOTO dibawah harga IPO, 4 hari terakhir saham GOTO udh naik, klo TLKM sbg trader mungkin udh di sell, tp mereka kan investor jangka panjang"
33,@PAKYOSHI00 Koyok goto loh oppo/?
34,@Ronnie_Rusli @sibatucadas Tdk usah di AS tuh saham telkom di GOTO ambruk itu juga pasti sudah dianalisa bussiness plan nya kecuali    ada faktor lain
