id,text
1,"@Rtupoke 29 kecuali Bek senior yang punya pengaruh ke tim, sampe pensiun ok"
2,@eliensh Na sampe ga kepikir mau cari hate komennya krna salfok meneliti mbaknya beneran 29 atau ini cmn bocil nyamar doang 🥲🥲🥲🥲🥲
3,"@lariesmanis 🐣 kosongan y22 🐣

@ contenv bo content
@ separx bo separe
@ narrvw bo narrow

☆ v all, mastip 29 Juni 2022
☆ masuk mentab &amp; ht
☆ sb ijo, go green
☆ dapet pw email + wa verif
☆ BELUM limit 12h 
✅ ALL SPACE 

💸 75OO/akun"
4,"@Rtupoke selalu coba jual di usia 28,29,30,31, kalau udah 32 keatas lepas gratis sih hehe,"
5,"@cicii_29 Mantuls banget kak, mangats terus yaa. Mimin doain moga kamu yg beruntung ya dan bisa bawa pulan hadiahnya. Have a nice day ^SX"
6,"nanti umur 29 pun aku akan tetap menjadi fans windah barsudara, hip hip wika wika."
7,26 ke purwokerto acara nikahan    27-29 jkt dan 2 2 nya pergi sendiri karna gk ada teman
8,"@mas_pra_ emang sih yang cewe ini salah banget tapi kalau kakaknya ngeliat kelakuan safa-safa sebelumnya juga pasti ga akan mungkin lebih pro kesafa, soalnya mereka berdua emang udah sama-sama keterlaluan. safa keterlaluan dalam hal lain dan yang 29 tahun ini keterlaluan dalam hal lain jg"
9,"@Askrlfess Sudahlah nder. Ntar kamu dilaporin sama mbak² umur 29 aktivis ham perwakilan dr na jaemin dan huang renjun, yang calon kakak iparnya kapolda, dosennya kader golkar, ariknya pulici 😒"
10,"@Ajaysaini5118 @ShweDhull Number to jyada nhi h,

Lekin fir bhi Iti ko Haq milna chahiye!

29,30 number wale bharti ko rdd karwane me lge hue h,

Kuch nhi hone Wala ,Hssc sbut le ri h sare"
11,awalnya gw males ikut2an ngehate mbak 29 tahun ini. tp ada 1 kalimat dia yang bawa2 papua seakan2 papua itu tempat buangan. aktivis ham tapi gak peka terhadap isu papua. tolol apa gimana?
12,@99skets wakaka mane yg ributin mbak” 29 taun
13,"@sweetiecutepie_ @taerrifield @memahayu @Asdzxc84764641 @Phanea4 @Hanadulset29 @ptrjkk @oohalien @buttercandiess @Aralewww Kenapa jadi kamu yang menentukan apa yang perlu dan ngga perlu? Punya wewenang apa emang kamu? 

Yang saya lakukan emang salah, tapi lucu. Kalo emang ada kosekuensinya ya saya hadapi kosekuensinya. Sama kayak mbak mbak 29 tahun itu, yang dia terima sekarang ya kosekuensi namanya"
14,@Aacharya_29 Guruji 100%wright
15,"and then buat masalah mbak 29 tahun itu beda lagi, jgn cuma karna keanehan mbak 29 lo jadi mengabaikan kesalahan yg udah si safa buat, kalo lo masih pada belain si safa itu artinya lo menormalisasikan hate speech ke orang lain karna lo malah mengabaikan dia, bukannya negur"
16,"@rahmadilaizza_ @annisaelfhazaaa Iku kpopers gabut ceritane dil, mb berflower umur 29 dan safa iki bocil, nah si bocil ceritane ngejek si na jaemin dan huang renjun nct dream gtgt deh trs yawes kesebar trs di gawekno space ndk twitter, lah ngakak e mb berflower iki sampe kate gowo2 ng meja hijau gt deh🥲🙏😃🤌"
17,@fluffehmochi Nasib baik 29. Kalau bawah 25 i try dah hshsh
18,"@KylieToris Anjir sampai di ig dramanya, si embak 29 tahun lgsg dag dig dug serr"
19,"area makassar yang cari parner laki2.
umur 29 jamin ganteng putih, badan normal

😎

silahkan dm

#pasutri3some 
#pasutri 
#Bomakassar 
#bokepindo"
20,"@yunaforevermore @ArjunaS49304878 @woopaa_nim @henderyitb iya bener, gua jg baca bbrpa tweet an nya dia. gua juga pasti bakal marah si klo idol gua dikata begitu, tpi yg kocak disini tu cara marah nya si mba 29 tahun tu wkwkw"
21,"@Baby_kyu88 @Pencerah__ hati2 lu kalo ngomong, umur gw 29 bapak dan abang gw polisi."
22,"najaemin umur 21, huang renjun umur 22, emaknya umur 29. umur 7 udah lahiran."
23,"Ni konten kreator TT kenapa jadi pada bahas safa n mbak2 29 tahun dah, biasanya juga bahas ukraina rusia"
